run	patient	arm	cell_type	fraction
SRR36909580	S5	IL8	Other	82.31359927538995
SRR36909580	S5	IL8	CD4_T_cells	1.1011717830816514
SRR36909580	S5	IL8	CD8_T_cells	1.089606536429354
SRR36909580	S5	IL8	Endothelium	5.689436335290629
SRR36909580	S5	IL8	Fibroblasts	1.4050626041608416
SRR36909580	S5	IL8	Macrophages	0.1644203443142368
SRR36909580	S5	IL8	Monocytes	2.0334566598789547
SRR36909580	S5	IL8	NK_cells	4.194781199294559
SRR36909580	S5	IL8	Non_plasma_B_cells	1.8428257448990757
SRR36909580	S5	IL8	Plasma_B_cells	0.1656395172607394
SRR36909580	S5	IL8	T_cells	2.190778319511005
SRR36909580	S5	IL8	Monocytic_cells	2.197877004193192
SRR36909580	S5	IL8	B_cells	2.008465262159815
SRR36909580	S5	IL8	Immune_general	10.59190178515857
SRR36909580	S5	IL8	Lymphocytes	8.394024780965378
SRR36909580	S5	IL8	Stromal	7.09449893945147
SRR36909581	S5	control	Other	82.03174707434077
SRR36909581	S5	control	CD4_T_cells	1.0574177432000071
SRR36909581	S5	control	CD8_T_cells	1.2126675717801436
SRR36909581	S5	control	Endothelium	6.525138292866204
SRR36909581	S5	control	Fibroblasts	1.0303428156422516
SRR36909581	S5	control	Macrophages	0.4719316980718814
SRR36909581	S5	control	Monocytes	4.255941953902139
SRR36909581	S5	control	NK_cells	3.414812850196601
SRR36909581	S5	control	Non_plasma_B_cells	0.0
SRR36909581	S5	control	Plasma_B_cells	0.0
SRR36909581	S5	control	T_cells	2.2700853149801508
SRR36909581	S5	control	Monocytic_cells	4.727873651974019
SRR36909581	S5	control	B_cells	0.0
SRR36909581	S5	control	Immune_general	10.412771817150771
SRR36909581	S5	control	Lymphocytes	5.684898165176753
SRR36909581	S5	control	Stromal	7.555481108508456
SRR36909582	S4	IL8	Other	59.10367937743799
SRR36909582	S4	IL8	CD4_T_cells	4.494828692557109
SRR36909582	S4	IL8	CD8_T_cells	2.493271982399136
SRR36909582	S4	IL8	Endothelium	10.709644917919316
SRR36909582	S4	IL8	Fibroblasts	4.918630690434641
SRR36909582	S4	IL8	Macrophages	3.8121959816512794
SRR36909582	S4	IL8	Monocytes	7.247321945505448
SRR36909582	S4	IL8	NK_cells	7.199648495789004
SRR36909582	S4	IL8	Non_plasma_B_cells	0.0181681250245934
SRR36909582	S4	IL8	Plasma_B_cells	0.0026097912814883
SRR36909582	S4	IL8	T_cells	6.988100674956245
SRR36909582	S4	IL8	Monocytic_cells	11.059517927156726
SRR36909582	S4	IL8	B_cells	0.0207779163060817
SRR36909582	S4	IL8	Immune_general	25.268045014208056
SRR36909582	S4	IL8	Lymphocytes	14.20852708705133
SRR36909582	S4	IL8	Stromal	15.628275608353958
SRR36909583	S4	control	Other	60.61799659367728
SRR36909583	S4	control	CD4_T_cells	3.9166210944058726
SRR36909583	S4	control	CD8_T_cells	2.108900082585815
SRR36909583	S4	control	Endothelium	12.873187419393922
SRR36909583	S4	control	Fibroblasts	2.8566455119983174
SRR36909583	S4	control	Macrophages	2.221903627113088
SRR36909583	S4	control	Monocytes	4.53651348740673
SRR36909583	S4	control	NK_cells	9.034825075139889
SRR36909583	S4	control	Non_plasma_B_cells	1.6951748776054048
SRR36909583	S4	control	Plasma_B_cells	0.1382322306736841
SRR36909583	S4	control	T_cells	6.025521176991687
SRR36909583	S4	control	Monocytic_cells	6.758417114519818
SRR36909583	S4	control	B_cells	1.8334071082790888
SRR36909583	S4	control	Immune_general	23.65217047493048
SRR36909583	S4	control	Lymphocytes	16.893753360410663
SRR36909583	S4	control	Stromal	15.72983293139224
SRR36909584	S3	IL8	Other	52.01487050214091
SRR36909584	S3	IL8	CD4_T_cells	2.871262254978626
SRR36909584	S3	IL8	CD8_T_cells	1.5925180695265937
SRR36909584	S3	IL8	Endothelium	20.908258524553503
SRR36909584	S3	IL8	Fibroblasts	4.426431867414021
SRR36909584	S3	IL8	Macrophages	2.810892438293417
SRR36909584	S3	IL8	Monocytes	7.177702050354837
SRR36909584	S3	IL8	NK_cells	7.4985215896397905
SRR36909584	S3	IL8	Non_plasma_B_cells	0.5831033613985813
SRR36909584	S3	IL8	Plasma_B_cells	0.1164393416997376
SRR36909584	S3	IL8	T_cells	4.463780324505219
SRR36909584	S3	IL8	Monocytic_cells	9.988594488648252
SRR36909584	S3	IL8	B_cells	0.6995427030983189
SRR36909584	S3	IL8	Immune_general	22.650439105891586
SRR36909584	S3	IL8	Lymphocytes	12.661844617243329
SRR36909584	S3	IL8	Stromal	25.334690391967523
SRR36909585	S3	control	Other	55.61424669588399
SRR36909585	S3	control	CD4_T_cells	2.595140069823085
SRR36909585	S3	control	CD8_T_cells	0.7163421898644773
SRR36909585	S3	control	Endothelium	14.483396969288115
SRR36909585	S3	control	Fibroblasts	7.019310840686554
SRR36909585	S3	control	Macrophages	2.3598036303747665
SRR36909585	S3	control	Monocytes	5.308573092231275
SRR36909585	S3	control	NK_cells	10.52587473865762
SRR36909585	S3	control	Non_plasma_B_cells	1.1419721022280152
SRR36909585	S3	control	Plasma_B_cells	0.2353396709620883
SRR36909585	S3	control	T_cells	3.311482259687562
