patient	cell_type	control	IL8	delta
S1	CD4_T_cells	10.265676252453408	11.11967134289526	0.8539950904418507
S1	CD8_T_cells	1.9021770630481192	4.60986606048241	2.7076889974342913
S1	NK_cells	11.047537066148196	11.330032836295072	0.2824957701468751
S1	Non_plasma_B_cells	0.0	0.0	0.0
S1	Plasma_B_cells	0.0	0.0	0.0
S1	Monocytes	8.612671477064747	9.077910456552647	0.46523897948789994
S1	Macrophages	2.705371165994353	3.3520574610875866	0.6466862950932337
S1	Endothelium	10.134776139177086	15.132459032065828	4.997682892888742
S1	Fibroblasts	2.5953438258313146	3.5091421032175085	0.9137982773861939
S2	CD4_T_cells	11.821347185713178	8.029331104091156	-3.7920160816220214
S2	CD8_T_cells	6.472301279112133	3.9704186071961	-2.501882671916033
S2	NK_cells	8.198347311158779	9.31533100441281	1.1169836932540314
S2	Non_plasma_B_cells	0.0	1.6137408232823969	1.6137408232823969
S2	Plasma_B_cells	0.0	0.3510011237661418	0.3510011237661418
S2	Monocytes	7.132436064515585	6.780289120473601	-0.35214694404198443
S2	Macrophages	2.695512465387921	1.140954678939571	-1.55455778644835
S2	Endothelium	12.147968936240972	11.441765464872272	-0.7062034713686991
S2	Fibroblasts	4.411275142880735	7.86880148708634	3.457526344205605
S3	CD4_T_cells	2.595140069823085	2.871262254978626	0.2761221851555411
S3	CD8_T_cells	0.7163421898644773	1.5925180695265937	0.8761758796621164
S3	NK_cells	10.52587473865762	7.4985215896397905	-3.02735314901783
S3	Non_plasma_B_cells	1.1419721022280152	0.5831033613985813	-0.5588687408294338
S3	Plasma_B_cells	0.2353396709620883	0.1164393416997376	-0.1189003292623507
S3	Monocytes	5.308573092231275	7.177702050354837	1.8691289581235617
S3	Macrophages	2.3598036303747665	2.810892438293417	0.4510888079186506
S3	Endothelium	14.483396969288115	20.908258524553503	6.424861555265387
S3	Fibroblasts	7.019310840686554	4.426431867414021	-2.5928789732725335
S4	CD4_T_cells	3.9166210944058726	4.494828692557109	0.578207598151236
S4	CD8_T_cells	2.108900082585815	2.493271982399136	0.384371899813321
S4	NK_cells	9.034825075139889	7.199648495789004	-1.8351765793508843
S4	Non_plasma_B_cells	1.6951748776054048	0.0181681250245934	-1.6770067525808114
S4	Plasma_B_cells	0.1382322306736841	0.0026097912814883	-0.1356224393921958
S4	Monocytes	4.53651348740673	7.247321945505448	2.7108084580987173
S4	Macrophages	2.221903627113088	3.8121959816512794	1.5902923545381915
S4	Endothelium	12.873187419393922	10.709644917919316	-2.1635425014746055
S4	Fibroblasts	2.8566455119983174	4.918630690434641	2.061985178436324
S5	CD4_T_cells	1.0574177432000071	1.1011717830816514	0.04375403988164428
S5	CD8_T_cells	1.2126675717801436	1.089606536429354	-0.12306103535078972
S5	NK_cells	3.414812850196601	4.194781199294559	0.7799683490979583
S5	Non_plasma_B_cells	0.0	1.8428257448990757	1.8428257448990757
S5	Plasma_B_cells	0.0	0.1656395172607394	0.1656395172607394
S5	Monocytes	4.255941953902139	2.0334566598789547	-2.222485294023184
S5	Macrophages	0.4719316980718814	0.1644203443142368	-0.3075113537576446
S5	Endothelium	6.525138292866204	5.689436335290629	-0.8357019575755755
S5	Fibroblasts	1.0303428156422516	1.4050626041608416	0.37471978851859
S6	CD4_T_cells	1.1115654557995485	1.3733984885744237	0.26183303277487524
S6	CD8_T_cells	0.9864918567498262	1.3705574140957668	0.3840655573459406
S6	NK_cells	3.757263210385955	5.488463365891437	1.7312001555054817
S6	Non_plasma_B_cells	1.7307678508525228	0.0	-1.7307678508525228
S6	Plasma_B_cells	0.066583988830365	0.0	-0.066583988830365
S6	Monocytes	2.2071014413006216	4.527810659211958	2.320709217911336
S6	Macrophages	0.1516512198436815	0.7096734970688797	0.5580222772251983
S6	Endothelium	8.05976523198158	18.59694446004292	10.53717922806134
S6	Fibroblasts	1.2150225213437231	2.820019575436024	1.6049970540923009
S7	CD4_T_cells	8.553475685522207	11.269373164952665	2.715897479430458
S7	CD8_T_cells	28.14926993305708	19.00214019903933	-9.14712973401775
S7	NK_cells	6.07481514248685	1.8158621141443656	-4.258953028342484
S7	Non_plasma_B_cells	3.5624605381152787	4.494515895335014	0.9320553572197352
S7	Plasma_B_cells	1.814790674694966	17.38396799308117	15.569177318386206
S7	Monocytes	2.692129093771693	2.149941104309724	-0.542187989461969
S7	Macrophages	4.958855885468881	1.4810786973258083	-3.477777188143073
S7	Endothelium	13.077065975334667	11.601697548756595	-1.475368426578072
S7	Fibroblasts	6.016458665022201	1.6325695953444983	-4.383889069677703
S8	CD4_T_cells	9.316188724647713	9.711479323158796	0.3952905985110835
S8	CD8_T_cells	26.313111649593736	25.790039383069768	-0.5230722665239682
S8	NK_cells	6.189594928168474	4.484260988219522	-1.705333939948952
S8	Non_plasma_B_cells	4.214622984275246	3.341384088132303	-0.8732388961429427
S8	Plasma_B_cells	13.621089461836297	1.300936072353503	-12.320153389482794
S8	Monocytes	1.8658722458961177	4.6543269133773375	2.78845466748122
S8	Macrophages	1.467800078186285	3.565306165141842	2.097506086955557
S8	Endothelium	12.258601127030024	9.46378028871671	-2.7948208383133135
S8	Fibroblasts	1.5240957188616038	12.88190169377791	11.357805974916307
S9	CD4_T_cells	11.443622289145484	9.473319248376548	-1.9703030407689361
S9	CD8_T_cells	30.57843464579577	17.1609772263462	-13.417457419449569
S9	NK_cells	9.612779531973988	6.7646212857516765	-2.8481582462223116
S9	Non_plasma_B_cells	2.605460782511719	3.0462466188598443	0.4407858363481254
S9	Plasma_B_cells	0.5751598999889225	0.3930056956233861	-0.18215420436553637
S9	Monocytes	5.82976645327645	7.639424740019258	1.809658286742808
S9	Macrophages	1.7838629879074068	3.1576558024143124	1.3737928145069056
S9	Endothelium	9.754551042748355	6.852183687372257	-2.9023673553760982
S9	Fibroblasts	2.2177146121215583	12.417490787477826	10.199776175356268
S10	CD4_T_cells	3.5709891238900524	2.826112234970061	-0.7448768889199915
S10	CD8_T_cells	49.60335950775702	48.7899923822517	-0.813367125505323
S10	NK_cells	7.28249129232936	4.393603681782528	-2.888887610546832
S10	Non_plasma_B_cells	0.7662898196426459	0.0864249285915973	-0.6798648910510485
S10	Plasma_B_cells	0.1087724203296022	0.0193146092884664	-0.0894578110411358
S10	Monocytes	5.488357531807834	6.67193156304471	1.1835740312368763
S10	Macrophages	2.6153352261748206	1.5467454504695464	-1.0685897757052742
S10	Endothelium	8.576488932693236	4.26882836389968	-4.307660568793556
S10	Fibroblasts	1.082878062018898	1.0680703358525714	-0.01480772616632664
S11	CD4_T_cells	3.749909098987297	2.3681675899106778	-1.3817415090766194
S11	CD8_T_cells	3.677766262200208	2.594601234874112	-1.0831650273260958
S11	NK_cells	6.793508028281257	1.1739969357504108	-5.619511092530846
S11	Non_plasma_B_cells	4.384472923157716	3.9876487123782014	-0.3968242107795148
S11	Plasma_B_cells	1.0353828713269793	0.3754873750888237	-0.6598954962381556
S11	Monocytes	4.512362770287091	0.8342398042075939	-3.6781229660794974
S11	Macrophages	1.0878479156496386	0.4895154472103348	-0.5983324684393038
S11	Endothelium	2.5317130262883274	4.937009998224724	2.4052969719363966
S11	Fibroblasts	2.3405026527637256	2.302871874696889	-0.03763077806683679
S12	CD4_T_cells	5.582790228027617	3.888550907707392	-1.6942393203202255
S12	CD8_T_cells	1.9723121197594864	1.6351363510371315	-0.3371757687223549
S12	NK_cells	9.879499120915105	8.577805390448436	-1.3016937304666687
